https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume BTC
1701302400000,2023-11-30 00:00:00,BTC/UST,37851,38145,37502,37714,21067873.17905102,558.62208143
1701216000000,2023-11-29 00:00:00,BTC/UST,37817,38400,37584,37851,17193081.5018952,454.2305752
1701129600000,2023-11-28 00:00:00,BTC/UST,37237,38337,36887,37815,23791070.33410905,629.14373487
1701043200000,2023-11-27 00:00:00,BTC/UST,37442,37549,36713,37248,17005347.68557824,456.54391338
1700956800000,2023-11-26 00:00:00,BTC/UST,37781,37812,37150,37443,7644201.37673367,204.15568669
1700870400000,2023-11-25 00:00:00,BTC/UST,37718,37886,37592,37777,4559663.22993668,120.69945284
1700784000000,2023-11-24 00:00:00,BTC/UST,37297,38419,37255,37710,26536602.199396502,703.70199415
1700697600000,2023-11-23 00:00:00,BTC/UST,37416,37641,36880,37287,10089736.20387117,270.59662091
1700611200000,2023-11-22 00:00:00,BTC/UST,35741,37860,35630,37406,11019436.03946892,294.59006682
1700524800000,2023-11-21 00:00:00,BTC/UST,37450,37641,35742,35742,16388249.044586161,458.51516548
1700438400000,2023-11-20 00:00:00,BTC/UST,37361,37766,36674,37445,7507852.2776299,200.50346582
1700352000000,2023-11-19 00:00:00,BTC/UST,36564,37499,36357,37351,4232062.61633644,113.30520244
1700265600000,2023-11-18 00:00:00,BTC/UST,36607,36845,36194,36563,2834106.79962356,77.51297212
1700179200000,2023-11-17 00:00:00,BTC/UST,36159,36821,35865,36609,9866752.477082789,269.51712631
1700092800000,2023-11-16 00:00:00,BTC/UST,37861,37919,35503,36152,14007946.70285072,387.47363086
1700006400000,2023-11-15 00:00:00,BTC/UST,35544,37947,35375,37873,30627211.390092902,808.6819473
1699920000000,2023-11-14 00:00:00,BTC/UST,36472,36748,34714,35545,33786503.75704725,950.52760605
1699833600000,2023-11-13 00:00:00,BTC/UST,37059,37423,36352,36482,8420327.09803056,230.80771608
1699747200000,2023-11-12 00:00:00,BTC/UST,37130,37222,36730,37053,6887025.04678344,185.86956648
1699660800000,2023-11-11 00:00:00,BTC/UST,37305,37402,36659,37140,5587056.5642418,150.43232537
1699574400000,2023-11-10 00:00:00,BTC/UST,36703,37505,36334,37294,23921540.30743792,641.43133768
1699488000000,2023-11-09 00:00:00,BTC/UST,35617,37970,35557,36695,78478419.10606475,2138.66791405
1699401600000,2023-11-08 00:00:00,BTC/UST,35398,36082,35103,35622,9485286.04015056,266.27606648
1699315200000,2023-11-07 00:00:00,BTC/UST,35047,35887,34520,35410,10950886.9327159,309.25972699
1699228800000,2023-11-06 00:00:00,BTC/UST,35018,35269,34729,35043,13353094.5036243,381.0488401
1699142400000,2023-11-05 00:00:00,BTC/UST,35056,35386,34460,35025,4097713.09139475,116.99394979
1699056000000,2023-11-04 00:00:00,BTC/UST,34716,35245,34595,35052,3171376.12917816,90.47632458
1698969600000,2023-11-03 00:00:00,BTC/UST,34934,34939,34121,34714,4937068.89913506,142.22126229
1698883200000,2023-11-02 00:00:00,BTC/UST,35419,35931,34323,34929,16364511.774051841,468.50788096
1698796800000,2023-11-01 00:00:00,BTC/UST,34638,35552,34090,35419,23518229.465241227,664.00038017
1698710400000,2023-10-31 00:00:00,BTC/UST,34473,34709,34038,34648,4818484.378780319,139.06962534
1698624000000,2023-10-30 00:00:00,BTC/UST,34527,34846,34070,34472,6295533.8683404,182.62746195
1698537600000,2023-10-29 00:00:00,BTC/UST,34079,34750,33942,34524,5709836.505051,165.38745525
1698451200000,2023-10-28 00:00:00,BTC/UST,33894,34490,33869,34079,4855500.33686748,142.47778212
