https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1652580000,2022-05-15 02:00:00,DOGE/USD,0.0885,0.08854,0.0885,0.0885,1473.441821,130.3996011585
1652576400,2022-05-15 01:00:00,DOGE/USD,0.08861,0.08861,0.08861,0.08861,1000.0,88.61
1652572800,2022-05-15 00:00:00,DOGE/USD,0.0897,0.09067,0.08896,0.08933,4658.545061,416.14783029913
1652569200,2022-05-14 23:00:00,DOGE/USD,0.08964,0.08993,0.08964,0.0897,4637.97118,416.02601484599995
1652565600,2022-05-14 22:00:00,DOGE/USD,0.08861,0.08936,0.08784,0.08936,11075.45008,989.7022191487999
1652562000,2022-05-14 21:00:00,DOGE/USD,0.08762,0.089,0.08751,0.08873,13867.493979,1230.4627407566702
1652558400,2022-05-14 20:00:00,DOGE/USD,0.08794,0.0882,0.08705,0.08709,16156.443757,1407.06468679713
1652554800,2022-05-14 19:00:00,DOGE/USD,0.08802,0.08802,0.08678,0.0869,52599.612005,4570.906283234501
1652551200,2022-05-14 18:00:00,DOGE/USD,0.08875,0.08909,0.08802,0.08802,57675.910937,5076.63368067474
1652547600,2022-05-14 17:00:00,DOGE/USD,0.08757,0.08842,0.08718,0.08842,64092.979602,5667.10125640884
1652544000,2022-05-14 16:00:00,DOGE/USD,0.08518,0.27172,0.08518,0.0878,406851.168711,35721.5326128258
1652540400,2022-05-14 15:00:00,DOGE/USD,0.08557,0.08557,0.08453,0.08453,3240.222983,273.89604875299
1652536800,2022-05-14 14:00:00,DOGE/USD,0.0847,0.08529,0.0834,0.08361,9278.233637,775.75311438957
1652533200,2022-05-14 13:00:00,DOGE/USD,0.08709,0.08709,0.08525,0.08525,58247.319434,4965.5839817485
1652529600,2022-05-14 12:00:00,DOGE/USD,0.08704,0.08755,0.08649,0.08649,4047.849197,350.09847704853
1652526000,2022-05-14 11:00:00,DOGE/USD,0.08863,0.08863,0.08595,0.08671,4973.088636,431.21651562756
1652522400,2022-05-14 10:00:00,DOGE/USD,0.08885,0.08958,0.08849,0.08849,11898.479952,1052.89649095248
1652518800,2022-05-14 09:00:00,DOGE/USD,0.08982,0.09064,0.08909,0.0892,6102.944597,544.3826580524
1652515200,2022-05-14 08:00:00,DOGE/USD,0.08917,0.09038,0.08858,0.08971,72512.076686,6505.05839950106
1652511600,2022-05-14 07:00:00,DOGE/USD,0.09024,0.09054,0.08933,0.08933,14556.492109,1300.3314400969703
1652508000,2022-05-14 06:00:00,DOGE/USD,0.08994,0.09009,0.08946,0.08946,993.869263,88.91154426798
1652504400,2022-05-14 05:00:00,DOGE/USD,0.08894,0.09028,0.08872,0.09028,9295.81308,839.2260048624
1652500800,2022-05-14 04:00:00,DOGE/USD,0.08941,0.08976,0.08874,0.08874,12846.298285,1139.9805098109
1652497200,2022-05-14 03:00:00,DOGE/USD,0.09004,0.09004,0.09004,0.09004,4970.951278,447.5844530711199
1652493600,2022-05-14 02:00:00,DOGE/USD,0.09076,0.09076,0.0898,0.0898,31302.848113,2810.9957605474
1652490000,2022-05-14 01:00:00,DOGE/USD,0.0896,0.09192,0.0896,0.09133,2985.142179,272.63303520807
1652486400,2022-05-14 00:00:00,DOGE/USD,0.08828,0.09036,0.08828,0.09036,12643.426253,1142.45999622108
1652482800,2022-05-13 23:00:00,DOGE/USD,0.09009,0.09009,0.08757,0.08757,22946.74557,2009.4465095648998
1652479200,2022-05-13 22:00:00,DOGE/USD,0.09209,0.09209,0.08968,0.08968,22967.175881,2059.69633300808
1652475600,2022-05-13 21:00:00,DOGE/USD,0.09054,0.09129,0.09053,0.09129,3007.691281,274.57213704249
1652472000,2022-05-13 20:00:00,DOGE/USD,0.09003,0.09135,0.08926,0.09135,9256.92557,845.6201508194999
1652468400,2022-05-13 19:00:00,DOGE/USD,0.0898,0.09037,0.08971,0.09037,9863.009465,891.32016535205
1652464800,2022-05-13 18:00:00,DOGE/USD,0.08843,0.09043,0.08843,0.08893,10156.06375,903.1787492874998
1652461200,2022-05-13 17:00:00,DOGE/USD,0.08978,0.09138,0.089,0.089,7668.033893,682.455016477
1652457600,2022-05-13 16:00:00,DOGE/USD,0.09076,0.0914,0.08856,0.08893,20495.447866,1822.6601787233799
1652454000,2022-05-13 15:00:00,DOGE/USD,0.09307,0.09307,0.09,0.0903,4803.672866,433.77165979980003
1652450400,2022-05-13 14:00:00,DOGE/USD,0.09345,0.09471,0.09245,0.09323,8784.943011,819.0202369155298
1652446800,2022-05-13 13:00:00,DOGE/USD,0.09204,0.09217,0.0912,0.09217,3024.898739,278.80491677363
1652443200,2022-05-13 12:00:00,DOGE/USD,0.09135,0.09331,0.09135,0.09265,26603.511118,2464.8153050827
1652439600,2022-05-13 11:00:00,DOGE/USD,0.09146,0.09432,0.09112,0.09345,13183.971669,1232.04215246805
1652436000,2022-05-13 10:00:00,DOGE/USD,0.0891,0.09067,0.08703,0.09067,38839.800798,3521.6047383546597
1652432400,2022-05-13 09:00:00,DOGE/USD,0.09218,0.09394,0.08955,0.08955,12655.488845,1133.29902606975
1652428800,2022-05-13 08:00:00,DOGE/USD,0.0912,0.09258,0.09103,0.09255,52055.033471,4817.69334774105
1652425200,2022-05-13 07:00:00,DOGE/USD,0.09253,0.09277,0.09075,0.09116,6902.369887,629.22003889892
1652421600,2022-05-13 06:00:00,DOGE/USD,0.09292,0.0942,0.09259,0.09259,3378.94234,312.8562712606
1652418000,2022-05-13 05:00:00,DOGE/USD,0.0934,0.095,0.09221,0.09237,13032.422294,1203.8048472967798
1652414400,2022-05-13 04:00:00,DOGE/USD,0.09234,0.09237,0.09068,0.09237,23265.082243,2148.99564678591
1652410800,2022-05-13 03:00:00,DOGE/USD,0.08927,0.095,0.08927,0.095,40396.88206,3837.7037957000002
1652407200,2022-05-13 02:00:00,DOGE/USD,0.08702,0.08999,0.08702,0.08915,17460.195673,1556.5764442479497
1652403600,2022-05-13 01:00:00,DOGE/USD,0.08752,0.08796,0.08524,0.08524,13499.689851,1150.7135628992398
1652400000,2022-05-13 00:00:00,DOGE/USD,0.08309,0.08637,0.08222,0.08543,47881.311775,4090.5004649382504
1652396400,2022-05-12 23:00:00,DOGE/USD,0.0817,0.08261,0.08148,0.08261,5833.904014,481.93881059654
1652392800,2022-05-12 22:00:00,DOGE/USD,0.08081,0.08081,0.07945,0.08034,8715.04386,700.1666237123999
1652389200,2022-05-12 21:00:00,DOGE/USD,0.0802,0.08723,0.08001,0.08245,70518.321498,5814.2356075101
1652385600,2022-05-12 20:00:00,DOGE/USD,0.08021,0.08216,0.08021,0.08134,23920.239948,1945.67231737032
1652382000,2022-05-12 19:00:00,DOGE/USD,0.08158,0.08309,0.08158,0.08194,31262.344801,2561.63653299394
1652378400,2022-05-12 18:00:00,DOGE/USD,0.08508,0.08508,0.08175,0.08175,10389.457133,849.33812062275
1652374800,2022-05-12 17:00:00,DOGE/USD,0.08699,0.0885,0.08346,0.08346,74269.868936,6198.563261398561
1652371200,2022-05-12 16:00:00,DOGE/USD,0.08162,0.08797,0.08162,0.08701,15740.729002,1369.60083046402
1652367600,2022-05-12 15:00:00,DOGE/USD,0.08161,0.08396,0.08101,0.08263,31310.308003,2587.17075028789
1652364000,2022-05-12 14:00:00,DOGE/USD,0.07619,0.081,0.0761,0.08002,76801.286402,6145.638937888039
