https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1663372800000,2022-09-17 00:00:00,BTC/EUR,19724.08,20120.72,19724.08,20106.73,2.2459588,45158.887182724
1663300800000,2022-09-16 04:00:00,BTC/EUR,19784.23,20021.41,19344.0,19873.72,7.31627901,145401.6804866172
1663286400000,2022-09-16 00:00:00,BTC/EUR,19736.24,19935.08,19344.0,19724.08,6.74864317,133110.77777653362
1663214400000,2022-09-15 04:00:00,BTC/EUR,20069.45,20453.81,19500.0,19784.23,11.73605128,232188.73781531438
1663200000000,2022-09-15 00:00:00,BTC/EUR,20278.36,20453.81,19500.0,19736.24,13.50950559,266626.8446055816
1663128000000,2022-09-14 04:00:00,BTC/EUR,20343.33,20410.19,19734.96,20069.45,28.26500285,567263.0614479325
1663113600000,2022-09-14 00:00:00,BTC/EUR,20208.05,21027.46,19734.96,20278.36,34.81522999,705995.7672200165
1663041600000,2022-09-13 04:00:00,BTC/EUR,22095.48,22365.37,20000.0,20343.33,24.80319426,504579.56588528585
1663027200000,2022-09-13 00:00:00,BTC/EUR,22118.86,22365.37,20000.0,20208.05,24.49129273,494921.2680524765
1662955200000,2022-09-12 04:00:00,BTC/EUR,21476.73,22205.33,21476.73,22095.48,14.00600047,309469.3032648756
1662940800000,2022-09-12 00:00:00,BTC/EUR,21646.61,22205.33,21439.47,22118.86,16.10606655,356247.831170133
1662868800000,2022-09-11 04:00:00,BTC/EUR,21440.83,22115.87,21317.1,21476.73,15.27119189,327975.2649997197
1662854400000,2022-09-11 00:00:00,BTC/EUR,21594.0,21686.49,21317.1,21646.61,14.38540491,311395.2497788551
1662782400000,2022-09-10 04:00:00,BTC/EUR,21200.12,21641.51,21019.37,21440.83,7.56145996,162123.9775541668
1662768000000,2022-09-10 00:00:00,BTC/EUR,21287.34,21641.51,21019.37,21594.0,6.40784601,138371.02673994
1662696000000,2022-09-09 04:00:00,BTC/EUR,19749.1,21396.74,19749.1,21200.12,33.46194742,709397.3007376904
1662681600000,2022-09-09 00:00:00,BTC/EUR,19309.1,21396.74,19238.3,21287.34,36.45076413,775939.8092951142
1662609600000,2022-09-08 04:00:00,BTC/EUR,19253.35,19749.1,19084.07,19749.1,19.95025961,393999.672063851
1662595200000,2022-09-08 00:00:00,BTC/EUR,19281.31,19441.65,19084.07,19309.1,18.2752157,352877.96747286996
1662523200000,2022-09-07 04:00:00,BTC/EUR,18938.84,19415.42,18938.84,19253.35,21.92117754,422056.1035897589
1662508800000,2022-09-07 00:00:00,BTC/EUR,19015.79,19415.42,18850.35,19281.31,43.89099075,846275.7988578826
1662436800000,2022-09-06 04:00:00,BTC/EUR,19885.18,20340.0,18850.35,18938.84,22.90337463,433763.34757762915
1662422400000,2022-09-06 00:00:00,BTC/EUR,19935.25,20340.0,18931.69,19015.79,22.85826261,434667.92155661195
1662350400000,2022-09-05 04:00:00,BTC/EUR,20060.95,20226.66,19787.87,19885.18,6.85348502,136282.7832500036
1662336000000,2022-09-05 00:00:00,BTC/EUR,20137.67,20194.63,19813.4,19935.25,7.63373527,152180.4210412675
1662264000000,2022-09-04 04:00:00,BTC/EUR,19873.08,20436.86,19718.33,20060.95,70.7179978,1418670.2179659102
1662249600000,2022-09-04 00:00:00,BTC/EUR,19924.8,20436.86,19718.33,20137.67,69.91474586,1407920.080262546
1662177600000,2022-09-03 04:00:00,BTC/EUR,19985.39,20055.76,19783.44,19873.08,4.46568118,88746.8393446344
1662163200000,2022-09-03 00:00:00,BTC/EUR,20134.86,20134.86,19783.44,19924.8,4.68887437,93424.88404737599
1662091200000,2022-09-02 04:00:00,BTC/EUR,20383.58,20383.58,19872.24,19985.39,6.27858503,125479.9704727117
1662076800000,2022-09-02 00:00:00,BTC/EUR,20231.33,20383.58,19872.24,20134.86,6.12695754,123365.43229384441
1662004800000,2022-09-01 04:00:00,BTC/EUR,19962.04,20789.47,19703.45,20383.58,13.4259718,273669.370263044
1661990400000,2022-09-01 00:00:00,BTC/EUR,19964.28,20789.47,19703.45,20231.33,15.63935847,316405.0221948651
1661918400000,2022-08-31 04:00:00,BTC/EUR,20325.44,20325.44,19668.32,19962.04,4.81564774,96130.15281178961
1661904000000,2022-08-31 00:00:00,BTC/EUR,19723.95,20415.52,19668.32,19964.28,9.70264455,193706.312536674
1661832000000,2022-08-30 04:00:00,BTC/EUR,20248.89,20535.87,19566.33,20325.44,12.67705704,257666.76224309756
1661817600000,2022-08-30 00:00:00,BTC/EUR,20282.4,20535.87,19566.33,19723.95,12.38290859,244239.8698837305
1661745600000,2022-08-29 04:00:00,BTC/EUR,20006.56,20388.2,19819.61,20248.89,12.53158822,253750.7513920758
1661731200000,2022-08-29 00:00:00,BTC/EUR,19720.01,20388.2,19720.01,20282.4,13.44074546,272610.575717904
1661659200000,2022-08-28 04:00:00,BTC/EUR,20087.68,20228.21,19720.01,20006.56,12.9687555,259460.18503608002
1661644800000,2022-08-28 00:00:00,BTC/EUR,20143.84,20228.21,19720.01,19720.01,12.77960582,252013.95456645818
1661572800000,2022-08-27 04:00:00,BTC/EUR,20813.93,20813.93,19946.29,20087.68,1.92655954,38700.1115404672
1661558400000,2022-08-27 00:00:00,BTC/EUR,20813.91,20813.93,19946.29,20143.84,0.91698839,18471.6674100176
1661486400000,2022-08-26 04:00:00,BTC/EUR,21650.9,21758.59,20275.07,20813.93,25.7807232,536598.168034176
1661472000000,2022-08-26 00:00:00,BTC/EUR,21675.92,21758.59,20275.07,20813.91,25.78935908,536777.3988488028
1661400000000,2022-08-25 04:00:00,BTC/EUR,21495.71,21809.27,21495.71,21650.9,4.61442486,99906.451201374
1661385600000,2022-08-25 00:00:00,BTC/EUR,21515.79,21809.27,21404.25,21675.92,5.49350144,119076.69773332479
1661313600000,2022-08-24 04:00:00,BTC/EUR,21396.84,21875.39,21259.88,21495.71,2.35829008,50693.1196555568
