https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP
1646024400000,2022-02-28 05:00:00,BTC/GBP,28372.57,28495.02,28372.27,28457.11,0.89229008,25391.9969584688
1646020800000,2022-02-28 04:00:00,BTC/GBP,28368.56,28537.36,28347.72,28372.57,0.13195672,3743.9512751704
1646017200000,2022-02-28 03:00:00,BTC/GBP,28284.8,28386.91,28240.25,28368.56,0.19595538,5558.971954852801
1646013600000,2022-02-28 02:00:00,BTC/GBP,28459.29,28462.26,28191.55,28284.8,1.51605489,42881.309352672
1646010000000,2022-02-28 01:00:00,BTC/GBP,28126.02,28746.34,28126.02,28459.29,2.82103497,80284.6523113713
1646006400000,2022-02-28 00:00:00,BTC/GBP,28250.0,28273.03,28060.34,28126.02,1.80373229,50731.8104631858
1646002800000,2022-02-27 23:00:00,BTC/GBP,28292.01,28359.76,28057.51,28250.0,48.26840638,1363582.4802350001
1645999200000,2022-02-27 22:00:00,BTC/GBP,28083.67,28418.91,28057.87,28292.01,4.35361493,123172.51713570929
1645995600000,2022-02-27 21:00:00,BTC/GBP,28405.39,28480.6,27734.25,28083.67,35.86163681,1007126.3738318926
1645992000000,2022-02-27 20:00:00,BTC/GBP,28110.18,28612.37,27986.26,28405.39,15.94209624,452841.4611147336
1645988400000,2022-02-27 19:00:00,BTC/GBP,29071.73,29119.93,28110.18,28110.18,12.74807749,358350.7528978482
1645984800000,2022-02-27 18:00:00,BTC/GBP,29143.86,29234.43,28991.09,29071.73,3.19494866,92882.6848073818
1645981200000,2022-02-27 17:00:00,BTC/GBP,29184.64,29220.72,29119.76,29143.86,1.09424605,31890.553686753
1645977600000,2022-02-27 16:00:00,BTC/GBP,29409.93,29409.93,29120.38,29184.64,2.21218411,64561.7968640704
1645974000000,2022-02-27 15:00:00,BTC/GBP,28947.78,29451.15,28947.78,29409.93,0.29628957,8713.8555134301
1645970400000,2022-02-27 14:00:00,BTC/GBP,29229.0,29229.0,28901.77,28947.78,0.60934194,17639.0964238932
1645966800000,2022-02-27 13:00:00,BTC/GBP,29767.06,29767.06,28833.69,29229.0,2.78127358,81293.84546982001
1645963200000,2022-02-27 12:00:00,BTC/GBP,29438.43,29767.06,29429.27,29767.06,1.24807769,37151.6034828914
1645959600000,2022-02-27 11:00:00,BTC/GBP,29445.55,29517.05,29341.86,29438.43,1.04563121,30781.741181400303
1645956000000,2022-02-27 10:00:00,BTC/GBP,29185.21,29445.55,29177.1,29445.55,1.74190292,51291.289526005996
1645952400000,2022-02-27 09:00:00,BTC/GBP,29014.93,29218.16,28990.91,29185.21,0.11150785,3254.3800188985
1645948800000,2022-02-27 08:00:00,BTC/GBP,28986.63,29033.61,28902.52,29014.93,1.00271615,29093.738902119498
1645945200000,2022-02-27 07:00:00,BTC/GBP,28959.67,28998.13,28959.67,28986.63,0.01889976,547.8403502088
1645941600000,2022-02-27 06:00:00,BTC/GBP,28881.29,28968.22,28868.36,28959.67,1.41965478,41112.733942722596
1645938000000,2022-02-27 05:00:00,BTC/GBP,28783.43,28881.32,28783.43,28881.29,0.06975025,2014.4771978225
1645934400000,2022-02-27 04:00:00,BTC/GBP,28862.56,28862.56,28783.43,28783.43,0.33985735,9782.2602437105
1645930800000,2022-02-27 03:00:00,BTC/GBP,28785.93,28889.62,28785.93,28862.56,0.06639921,1916.4511825776
1645927200000,2022-02-27 02:00:00,BTC/GBP,28592.93,28785.93,28546.97,28785.93,4.00408,115261.1665944
1645923600000,2022-02-27 01:00:00,BTC/GBP,28979.83,28979.83,28592.93,28592.93,0.27145503,7761.6946709379
1645920000000,2022-02-27 00:00:00,BTC/GBP,29226.62,29295.88,28964.81,28979.83,1.04470701,30275.4315496083
1645916400000,2022-02-26 23:00:00,BTC/GBP,29198.85,29229.0,29080.69,29226.62,0.75218228,21983.7456682936
1645912800000,2022-02-26 22:00:00,BTC/GBP,29469.49,29479.16,29198.85,29198.85,0.19010877,5550.9574589145
1645909200000,2022-02-26 21:00:00,BTC/GBP,29432.52,29616.79,29369.16,29469.49,1.98555148,58513.1894843452
1645905600000,2022-02-26 20:00:00,BTC/GBP,29327.52,29432.52,29311.66,29432.52,0.56794321,16715.999887189202
1645902000000,2022-02-26 19:00:00,BTC/GBP,29191.94,29468.44,29191.94,29327.52,3.56833635,104650.455671352
1645898400000,2022-02-26 18:00:00,BTC/GBP,29323.08,29326.81,29002.44,29191.94,2.93142653,85574.02737816819
1645894800000,2022-02-26 17:00:00,BTC/GBP,29258.91,29343.7,29218.42,29323.08,2.38035651,69799.3843712508
1645891200000,2022-02-26 16:00:00,BTC/GBP,29318.99,29367.33,29196.98,29258.91,0.75192312,22000.450894999198
1645887600000,2022-02-26 15:00:00,BTC/GBP,29276.3,29363.34,29273.6,29318.99,1.07731111,31585.6736609789
1645884000000,2022-02-26 14:00:00,BTC/GBP,29187.42,29391.69,29165.35,29276.3,4.52985958,132617.528021954
1645880400000,2022-02-26 13:00:00,BTC/GBP,29132.87,29249.71,29119.28,29187.42,1.10255478,32180.729436867598
1645876800000,2022-02-26 12:00:00,BTC/GBP,29061.55,29132.87,28986.81,29132.87,0.10872011,3167.3288310157
1645873200000,2022-02-26 11:00:00,BTC/GBP,29139.72,29229.0,29041.76,29061.55,1.17697207,34204.63266090849
1645869600000,2022-02-26 10:00:00,BTC/GBP,28982.91,29178.32,28982.91,29139.72,3.358407,97863.03962604
1645866000000,2022-02-26 09:00:00,BTC/GBP,28898.33,29054.5,28832.25,28982.91,1.20871171,35031.9827068761
1645862400000,2022-02-26 08:00:00,BTC/GBP,29262.84,29500.83,28898.33,28898.33,4.4384943,128265.07298451902
1645858800000,2022-02-26 07:00:00,BTC/GBP,29232.21,29262.84,29092.8,29262.84,0.33356093,9760.9401248412
1645855200000,2022-02-26 06:00:00,BTC/GBP,29120.38,29259.35,29120.38,29232.21,0.14167278,4141.4084562438
1645851600000,2022-02-26 05:00:00,BTC/GBP,29413.33,29413.33,29120.38,29120.38,0.3992257,11625.604089766
1645848000000,2022-02-26 04:00:00,BTC/GBP,29416.39,29480.78,29364.2,29413.33,3.74080892,110029.6472309036
1645844400000,2022-02-26 03:00:00,BTC/GBP,29573.19,29573.19,29351.14,29416.39,0.01261784,371.1713023976
1645840800000,2022-02-26 02:00:00,BTC/GBP,29557.98,29642.11,29532.84,29573.19,0.19207016,5680.127335010399
1645837200000,2022-02-26 01:00:00,BTC/GBP,29692.17,29722.81,29557.98,29557.98,0.93243358,27560.8531089684
1645833600000,2022-02-26 00:00:00,BTC/GBP,29245.27,30061.85,29235.54,29692.17,8.2106353,243791.57913560097
1645830000000,2022-02-25 23:00:00,BTC/GBP,29391.9,29500.83,29245.27,29245.27,0.69109358,20211.2183423666
1645826400000,2022-02-25 22:00:00,BTC/GBP,29096.82,29409.93,29062.39,29391.9,0.45153614,13271.505073266
1645822800000,2022-02-25 21:00:00,BTC/GBP,29253.98,29268.86,29096.82,29096.82,0.14626151,4255.744829398201
1645819200000,2022-02-25 20:00:00,BTC/GBP,28901.86,29253.98,28866.89,29253.98,2.07819763,60795.5519040674
1645815600000,2022-02-25 19:00:00,BTC/GBP,28848.49,29097.01,28812.73,28901.86,0.59371082,17159.3470001252
1645812000000,2022-02-25 18:00:00,BTC/GBP,29144.67,29183.74,28823.68,28848.49,3.11993393,90005.3827802657
1645808400000,2022-02-25 17:00:00,BTC/GBP,29401.04,29416.19,29091.62,29144.67,2.12714857,61995.0431136219
1645804800000,2022-02-25 16:00:00,BTC/GBP,29414.67,29550.0,29299.52,29401.04,2.58240919,75925.5158915576
