https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1662523200000,2022-09-07 04:00:00,BTCG/USD,18734.64,19422.51,18734.64,19232.76,3.88583464,74735.3250308064
1662508800000,2022-09-07 00:00:00,BTCG/USD,18799.66,19422.51,18550.0,19325.84,6.5818571,127199.917217464
1662436800000,2022-09-06 04:00:00,BTCG/USD,19781.83,19982.28,18550.0,18734.64,19.41421144,363718.2622122816
1662422400000,2022-09-06 00:00:00,BTCG/USD,19831.38,20146.98,18689.06,18799.66,21.03686537,395485.9164217742
1662350400000,2022-09-05 04:00:00,BTCG/USD,19889.38,20146.98,19650.0,19781.83,6.36698689,125950.65227020871
1662336000000,2022-09-05 00:00:00,BTCG/USD,19998.19,20043.75,19650.0,19831.38,4.53796093,89994.02762798339
1662264000000,2022-09-04 04:00:00,BTCG/USD,19800.53,20159.01,19613.58,19889.38,11.08690803,220511.72683372142
1662249600000,2022-09-04 00:00:00,BTCG/USD,19675.32,20159.01,19613.58,19998.19,10.78110703,215602.62679627567
1662177600000,2022-09-03 04:00:00,BTCG/USD,19885.04,20458.49,19675.0,19800.53,1.51291898,29956.597651059397
1662163200000,2022-09-03 00:00:00,BTCG/USD,19944.76,20458.49,19675.0,19675.32,1.02834799,20233.0757746068
1662091200000,2022-09-02 04:00:00,BTCG/USD,20199.12,20519.58,19786.12,19885.04,3.87676731,77089.67303004241
1662076800000,2022-09-02 00:00:00,BTCG/USD,20126.4,20519.58,19786.12,19944.76,4.73485495,94435.545612562
1662004800000,2022-09-01 04:00:00,BTCG/USD,19979.33,20200.0,19584.84,20199.12,7.36092958,148684.29989796958
1661990400000,2022-09-01 00:00:00,BTCG/USD,20043.07,20225.78,19584.84,20126.4,7.43868911,149714.03250350402
1661918400000,2022-08-31 04:00:00,BTCG/USD,20381.47,20415.83,19942.45,19979.33,3.26521887,65236.885325957104
1661904000000,2022-08-31 00:00:00,BTCG/USD,19804.39,20415.83,19804.39,20043.07,8.53604622,171088.57191069538
1661832000000,2022-08-30 04:00:00,BTCG/USD,20266.95,20554.0,19584.84,20381.47,8.29663163,169097.5486678961
1661817600000,2022-08-30 00:00:00,BTCG/USD,20275.48,20554.0,19584.84,19804.39,7.09140467,140440.9437325013
1661745600000,2022-08-29 04:00:00,BTCG/USD,19862.83,20397.0,19796.97,20266.95,4.09652984,83024.165440788
